03-09 19:41:53.374 4157-4157/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> speed_test: 1489059713391, 166864
03-09 19:41:55.974 4157-4157/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> getCloudService: 1489059714490, 1489059714711, 1489059715986
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 0, 1489059718277
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 76, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 99, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 119, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 153, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 190, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 223, 1489059718278
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 256, 1489059718279
03-09 19:41:58.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 296, 1489059718279
03-09 19:41:58.274 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 0, 1489059718285
03-09 19:41:58.274 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 76, 1489059718290
03-09 19:41:58.274 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 99, 1489059718291
03-09 19:41:58.274 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 119, 1489059718291
03-09 19:41:58.284 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 316, 1489059718300
03-09 19:41:58.294 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 357, 1489059718305
03-09 19:41:58.314 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 153, 1489059718333
03-09 19:41:58.324 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 397, 1489059718333
03-09 19:41:58.324 4157-6036/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> got_first_frame: 1489059718285, MediaCodec, OMX.qcom.video.decoder.avc
03-09 19:41:58.324 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 417, 1489059718342
03-09 19:41:58.324 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 190, 1489059718342
03-09 19:41:58.334 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 223, 1489059718348
03-09 19:41:58.334 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718285, 1489059718342, 1489059718349
03-09 19:41:58.344 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 256, 1489059718357
03-09 19:41:58.344 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718290, 1489059718343, 1489059718362
03-09 19:41:58.354 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 296, 1489059718364
03-09 19:41:58.354 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718291, 1489059718349, 1489059718373
03-09 19:41:58.364 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 316, 1489059718375
03-09 19:41:58.364 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 357, 1489059718381
03-09 19:41:58.374 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718291, 1489059718357, 1489059718384
03-09 19:41:58.384 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 397, 1489059718393
03-09 19:41:58.384 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718333, 1489059718363, 1489059718395
03-09 19:41:58.384 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 417, 1489059718397
03-09 19:41:58.394 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718342, 1489059718374, 1489059718406
03-09 19:41:58.404 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718348, 1489059718381, 1489059718417
03-09 19:41:58.414 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718357, 1489059718392, 1489059718428
03-09 19:41:58.424 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718364, 1489059718400, 1489059718439
03-09 19:41:58.434 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718375, 1489059718407, 1489059718451
03-09 19:41:58.454 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718381, 1489059718415, 1489059718463
03-09 19:41:58.454 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 457, 1489059718468
03-09 19:41:58.454 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 457, 1489059718469
03-09 19:41:58.464 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718393, 1489059718424, 1489059718474
03-09 19:41:58.474 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718397, 1489059718437, 1489059718487
03-09 19:41:58.484 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 496, 1489059718495
03-09 19:41:58.484 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 496, 1489059718496
03-09 19:41:58.484 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718469, 1489059718482, 1489059718498
03-09 19:41:58.484 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 518, 1489059718500
03-09 19:41:58.484 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 518, 1489059718503
03-09 19:41:58.494 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 557, 1489059718506
03-09 19:41:58.494 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 557, 1489059718507
03-09 19:41:58.504 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718496, 1489059718510, 1489059718519
03-09 19:41:58.514 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 597, 1489059718526
03-09 19:41:58.514 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 597, 1489059718527
03-09 19:41:58.514 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718507, 1489059718527, 1489059718530
03-09 19:41:58.524 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718527, 1489059718540, 1489059718541
03-09 19:41:58.534 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 617, 1489059718548
03-09 19:41:58.534 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 617, 1489059718548
03-09 19:41:58.554 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718548, 1489059718561, 1489059718563
03-09 19:41:58.634 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 657, 1489059718646
03-09 19:41:58.634 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 657, 1489059718647
03-09 19:41:58.644 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 696, 1489059718656
03-09 19:41:58.644 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 696, 1489059718657
03-09 19:41:58.654 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 718, 1489059718664
03-09 19:41:58.654 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 718, 1489059718665
03-09 19:41:58.654 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718647, 1489059718660, 1489059718667
03-09 19:41:58.654 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 757, 1489059718670
03-09 19:41:58.654 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 757, 1489059718671
03-09 19:41:58.664 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718657, 1489059718673, 1489059718679
03-09 19:41:58.684 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718671, 1489059718690, 1489059718695
03-09 19:41:58.704 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 796, 1489059718715
03-09 19:41:58.704 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 796, 1489059718716
03-09 19:41:58.714 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 817, 1489059718727
03-09 19:41:58.714 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 817, 1489059718727
03-09 19:41:58.714 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718716, 1489059718729, 1489059718730
03-09 19:41:58.724 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718727, 1489059718741, 1489059718742
03-09 19:41:58.864 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 857, 1489059718871
03-09 19:41:58.864 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 857, 1489059718872
03-09 19:41:58.864 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 897, 1489059718874
03-09 19:41:58.864 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 897, 1489059718875
03-09 19:41:58.874 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 917, 1489059718885
03-09 19:41:58.874 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 917, 1489059718886
03-09 19:41:58.884 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718875, 1489059718894, 1489059718895
03-09 19:41:58.894 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 957, 1489059718904
03-09 19:41:58.894 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 957, 1489059718905
03-09 19:41:58.894 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718886, 1489059718902, 1489059718906
03-09 19:41:58.894 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 996, 1489059718911
03-09 19:41:58.894 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 996, 1489059718912
03-09 19:41:58.914 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718912, 1489059718928, 1489059718929
03-09 19:41:58.924 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1017, 1489059718936
03-09 19:41:58.924 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1017, 1489059718937
03-09 19:41:58.934 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718937, 1489059718950, 1489059718950
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1058, 1489059719076
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1058, 1489059719077
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1095, 1489059719078
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1095, 1489059719079
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1115, 1489059719081
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1115, 1489059719082
03-09 19:41:59.074 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719077, 1489059719090, 1489059719092
03-09 19:41:59.094 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719079, 1489059719098, 1489059719105
03-09 19:41:59.104 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719082, 1489059719107, 1489059719116
03-09 19:41:59.124 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1155, 1489059719141
03-09 19:41:59.124 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1155, 1489059719142
