03-09 20:16:50.534 8946-8946/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> speed_test: 1489061810551, 0
03-09 20:16:52.584 8946-8946/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> getCloudService: 1489061811203, 1489061811457, 1489061812599
03-09 20:16:54.594 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 0, 1489061814605
03-09 20:16:54.594 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 100, 1489061814606
03-09 20:16:54.594 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 0, 1489061814606
03-09 20:16:54.594 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 100, 1489061814606
03-09 20:16:54.614 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 200, 1489061814624
03-09 20:16:54.614 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 200, 1489061814624
03-09 20:16:54.684 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 300, 1489061814697
03-09 20:16:54.684 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 300, 1489061814697
03-09 20:16:54.704 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 320, 1489061814714
03-09 20:16:54.704 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 320, 1489061814715
03-09 20:16:54.724 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 336, 1489061814739
03-09 20:16:54.724 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 336, 1489061814739
03-09 20:16:54.754 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> got_first_frame: 1489061814606, avcodec, h264
03-09 20:16:54.764 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814606, 1489061814740, 1489061814774
03-09 20:16:54.784 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 383, 1489061814801
03-09 20:16:54.784 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 383, 1489061814802
03-09 20:16:54.784 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 403, 1489061814802
03-09 20:16:54.804 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 403, 1489061814815
03-09 20:16:54.814 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814606, 1489061814802, 1489061814832
03-09 20:16:54.824 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 422, 1489061814841
03-09 20:16:54.824 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 422, 1489061814842
03-09 20:16:54.854 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814624, 1489061814816, 1489061814865
03-09 20:16:54.854 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 438, 1489061814869
03-09 20:16:54.854 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 438, 1489061814869
03-09 20:16:54.884 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 463, 1489061814895
03-09 20:16:54.884 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 476, 1489061814899
03-09 20:16:54.884 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 463, 1489061814901
03-09 20:16:54.894 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814697, 1489061814842, 1489061814904
03-09 20:16:54.904 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 497, 1489061814915
03-09 20:16:54.904 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 476, 1489061814923
03-09 20:16:54.914 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814715, 1489061814870, 1489061814930
03-09 20:16:54.924 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 517, 1489061814937
03-09 20:16:54.924 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 497, 1489061814938
03-09 20:16:54.934 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061814739, 1489061814902, 1489061814945
03-09 20:16:54.934 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 537, 1489061814952
03-09 20:16:54.944 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 517, 1489061814954
