03-09 20:13:21.204 6402-6402/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> speed_test: 1489061601215, 731801
03-09 20:13:23.154 6402-6402/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> getCloudService: 1489061601709, 1489061601906, 1489061603164
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 0, 1489061605606
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 100, 1489061605606
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 119, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 141, 1489061605607
03-09 20:13:25.594 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 0, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 159, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 188, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 212, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 256, 1489061605607
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 297, 1489061605608
03-09 20:13:25.594 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 100, 1489061605608
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 316, 1489061605608
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 357, 1489061605608
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 397, 1489061605609
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 417, 1489061605609
03-09 20:13:25.594 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 456, 1489061605610
03-09 20:13:25.594 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 119, 1489061605610
03-09 20:13:25.594 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 141, 1489061605611
03-09 20:13:25.634 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 159, 1489061605644
03-09 20:13:25.634 6402-6613/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> got_first_frame: 1489061605607, MediaCodec, OMX.qcom.video.decoder.avc
03-09 20:13:25.634 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 188, 1489061605652
03-09 20:13:25.644 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061605607, 1489061605650, 1489061605657
03-09 20:13:25.644 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 212, 1489061605661
