03-09 20:21:35.204 16111-16111/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> speed_test: 1489062095222, 655923
03-09 20:21:37.104 16111-16111/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> getCloudService: 1489062095616, 1489062095824, 1489062097115
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 0, 1489062099331
03-09 20:21:39.324 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 0, 1489062099331
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 81, 1489062099331
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 99, 1489062099332
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 117, 1489062099332
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 156, 1489062099332
03-09 20:21:39.324 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 179, 1489062099332
03-09 20:21:39.324 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 81, 1489062099332
03-09 20:21:39.334 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 99, 1489062099347
03-09 20:21:39.334 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 117, 1489062099349
03-09 20:21:39.344 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 218, 1489062099353
03-09 20:21:39.354 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 156, 1489062099362
03-09 20:21:39.364 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 179, 1489062099372
03-09 20:21:39.374 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 218, 1489062099385
03-09 20:21:39.384 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 261, 1489062099398
03-09 20:21:39.384 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 261, 1489062099398
03-09 20:21:39.414 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 298, 1489062099427
03-09 20:21:39.414 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 298, 1489062099427
03-09 20:21:39.424 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> got_first_frame: 1489062099331, avcodec, h264
03-09 20:21:39.434 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 318, 1489062099447
03-09 20:21:39.434 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 318, 1489062099447
03-09 20:21:39.434 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099331, 1489062099428, 1489062099450
03-09 20:21:39.484 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 361, 1489062099501
03-09 20:21:39.484 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 361, 1489062099501
03-09 20:21:39.504 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062099332, 1489062099448, 1489062099517
