03-09 20:23:55.834 18419-18419/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> speed_test: 1489062235845, 336888
03-09 20:23:57.784 18419-18419/com.haima.me.saas_sdk E/saas_sdk-IjkVideoView: CloudTest>> getCloudService: 1489062236188, 1489062236435, 1489062237793
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 0, 1489062240289
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 51, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 88, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 129, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 149, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 190, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 231, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 249, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 289, 1489062240290
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 329, 1489062240291
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 351, 1489062240291
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 389, 1489062240291
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 411, 1489062240291
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 449, 1489062240291
03-09 20:24:00.284 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 492, 1489062240291
